model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,Make_BMW,Make_Ford,Make_Hyundai,Make_audi,Make_skoda,Make_toyota,Make_vw
86,2016.0,14700.0,32704.0,30.0,60.1,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2018.0,19100.0,42209.0,145.0,42.2,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,18100.0,17278.0,145.0,48.7,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2017.0,11400.0,29515.0,0.0,67.3,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2014.0,11600.0,43662.0,20.0,67.3,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2017.0,17300.0,45225.0,145.0,62.8,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2017.0,16400.0,45491.0,30.0,61.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2014.0,11498.0,40807.0,125.0,50.4,1.8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
87,2014.0,18998.0,47648.0,260.0,35.8,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
87,2017.0,25498.0,27948.0,145.0,40.9,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11,2013.0,10498.0,31169.0,145.0,49.6,1.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2013.0,9498.0,42011.0,145.0,47.1,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2015.0,16798.0,65835.0,125.0,61.4,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
87,2017.0,36998.0,34011.0,145.0,34.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
12,2014.0,13998.0,52132.0,160.0,49.6,3.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
11,2015.0,15995.0,38787.0,145.0,55.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
117,2019.0,29485.0,3000.0,145.0,40.9,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
87,2017.0,26485.0,18000.0,150.0,56.5,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
86,2018.0,23985.0,17085.0,150.0,47.9,1.4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
8,2017.0,12485.0,48166.0,20.0,72.4,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2015.0,22485.0,38421.0,205.0,47.1,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
10,2016.0,11998.0,24468.0,0.0,74.3,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2019.0,17985.0,8449.0,145.0,51.4,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2017.0,20485.0,34679.0,30.0,65.7,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2018.0,16985.0,23860.0,145.0,60.1,1.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
13,2019.0,29985.0,1881.0,145.0,47.9,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2019.0,30985.0,1863.0,145.0,47.9,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
95,2016.0,44985.0,49050.0,325.0,29.4,4.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11,2019.0,28985.0,1024.0,145.0,38.7,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11,2019.0,24985.0,448.0,145.0,39.8,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11,2019.0,26985.0,476.0,145.0,39.2,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
14,2019.0,39985.0,5201.0,145.0,38.7,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2019.0,45485.0,3241.0,145.0,39.2,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
85,2019.0,28985.0,824.0,145.0,40.9,1.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2019.0,31985.0,2811.0,145.0,47.9,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
85,2019.0,20985.0,3422.0,145.0,47.9,1.6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
85,2019.0,23685.0,37.0,145.0,47.9,1.6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2019.0,27985.0,7299.0,145.0,38.2,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
85,2019.0,27985.0,1414.0,145.0,40.9,1.5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
87,2019.0,36985.0,5135.0,145.0,38.2,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2019.0,37985.0,6024.0,145.0,38.2,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2020.0,37985.0,10.0,145.0,32.1,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
88,2019.0,59995.0,10.0,145.0,33.2,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2020.0,47895.0,10.0,145.0,30.7,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
88,2015.0,29985.0,47606.0,200.0,47.9,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2018.0,24985.0,5071.0,145.0,50.4,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2019.0,29985.0,10.0,145.0,51.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2019.0,19685.0,10.0,145.0,49.6,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2019.0,34985.0,10.0,145.0,53.3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,2019.0,35895.0,2000.0,145.0,47.9,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
85,2019.0,26985.0,10.0,145.0,43.5,1.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2019.0,28985.0,10.0,145.0,39.8,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2019.0,27985.0,1010.0,145.0,39.8,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2019.0,28985.0,500.0,145.0,47.9,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
11,2019.0,29985.0,10.0,145.0,42.8,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2019.0,21995.0,10.0,145.0,54.3,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2019.0,32485.0,10.0,145.0,51.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2016.0,18498.0,29845.0,160.0,45.6,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11,2016.0,17998.0,20885.0,30.0,64.2,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2014.0,10985.0,10534.0,30.0,56.5,1.2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,2017.0,18485.0,22501.0,145.0,64.2,1.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,2017.0,38985.0,1420.0,145.0,50.4,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2019.0,29485.0,10.0,145.0,40.4,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,2017.0,17698.0,18761.0,145.0,51.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2019.0,27995.0,10.0,145.0,40.4,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2019.0,31985.0,10.0,145.0,42.8,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2017.0,18998.0,22295.0,30.0,56.5,1.4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
10,2018.0,19995.0,25000.0,150.0,42.2,1.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,2017.0,14495.0,23043.0,150.0,55.4,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2014.0,12998.0,80902.0,125.0,60.1,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
11,2019.0,32485.0,10.0,145.0,50.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2019.0,20485.0,10.0,145.0,48.7,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2019.0,34485.0,10.0,145.0,47.1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
117,2018.0,16498.0,34170.0,150.0,47.1,1.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
87,2019.0,31998.0,100.0,145.0,33.2,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
86,2019.0,35985.0,650.0,145.0,47.1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2019.0,37985.0,10.0,145.0,38.2,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,2019.0,31998.0,10.0,145.0,33.2,2.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
11,2019.0,18998.0,2928.0,145.0,41.5,2.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2016.0,19995.0,31600.0,160.0,50.4,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
88,2016.0,47995.0,46600.0,300.0,39.2,4.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
12,2015.0,17998.0,13312.0,125.0,57.6,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
